NAME,STAT,LEVEL,LAT,LON,TIME,WIND,PR
Franklin,TROPICAL STORM,2,16.40,-83.00,08/07 12:00 AM,35,1006
Franklin,TROPICAL STORM,2,17.10,-84.20,08/07 6:00 AM,40,1005
Franklin,TROPICAL STORM,2,17.70,-85.10,08/07 12:00 PM,50,999
Franklin,TROPICAL STORM,2,18.60,-85.90,08/07 6:00 PM,50,998
Franklin,TROPICAL STORM,2,19.10,-87.30,08/08 12:00 AM,50,995
Franklin,TROPICAL STORM,2,19.30,-88.50,08/08 6:00 AM,45,998
Franklin,TROPICAL STORM,2,19.60,-89.60,08/08 12:00 PM,40,1001
Franklin,TROPICAL STORM,2,20.20,-90.30,08/08 6:00 PM,35,1001
Franklin,TROPICAL STORM,2,20.30,-91.30,08/09 12:00 AM,45,996
Franklin,TROPICAL STORM,2,20.40,-92.70,08/09 6:00 AM,55,994
Franklin,TROPICAL STORM,2,20.20,-93.90,08/09 12:00 AM,60,985
Franklin,HURRICANE-1,3,20.10,-94.90,08/09 6:00 PM,65,984
Franklin,HURRICANE-1,3,20.20,-96.10,08/10 12:00 AM,75,985
Franklin,TROPICAL STORM,2,19.90,-97.60,08/10 6:00 AM,60,992
Gert,TROPICAL DEPRESSION,1,25.30,-70.30,08/13 12:00 AM,30,1011
Gert,TROPICAL DEPRESSION,1,26.50,-70.90,08/13 6:00 AM,30,1011
Gert,TROPICAL DEPRESSION,1,27.40,-71.50,08/13 12:00 PM,30,1011
Gert,TROPICAL STORM,2,28.10,-71.70,08/13 6:00 PM,35,1011
Gert,TROPICAL STORM,2,28.80,-71.90,08/14 12:00 AM,40,1009
Gert,TROPICAL STORM,2,29.70,-72.20,08/14 6:00 AM,40,1009
Gert,TROPICAL STORM,2,30.30,-72.20,08/14 12:00 PM,50,1002
Gert,TROPICAL STORM,2,30.60,-72.30,08/14 6:00 PM,60,992
Gert,HURRICANE-1,3,31.20,-72.30,08/15 12:00 AM,65,986
Gert,HURRICANE-1,3,31.80,-72.50,08/15 6:00 AM,65,986
Gert,HURRICANE-1,3,32.80,-72.00,08/15 12:00 PM,65,986
Gert,HURRICANE-1,3,33.70,-71.20,08/15 6:00 PM,70,981
Gert,HURRICANE-1,3,34.80,-70.30,08/16 12:00 AM,75,979
Gert,HURRICANE-1,3,36.00,-68.40,08/16 6:00 AM,80,975
Gert,HURRICANE-1,3,37.40,-65.70,08/16 12:00 PM,80,975
Gert,HURRICANE-2,4,38.70,-62.40,08/16 6:00 PM,85,970
Gert,HURRICANE-2,4,40.10,-58.40,08/17 12:00 AM,90,967
Gert,HURRICANE-2,4,41.70,-54.00,08/17 6:00 AM,85,968
Gert,HURRICANE-1,3,43.20,-50.00,08/17 12:00 PM,70,975
Harvey,TROPICAL STORM,2,13.00,-55.80,08/17 6:00 PM,35,1004
Harvey,TROPICAL STORM,2,13.00,-57.40,08/18 12:00 AM,35,1005
Harvey,TROPICAL STORM,2,13.10,-59.10,08/18 6:00 AM,35,1004
Harvey,TROPICAL STORM,2,13.10,-61.30,08/18 12:00 PM,35,1005
Harvey,TROPICAL STORM,2,13.40,-62.90,08/18 6:00 PM,35,1005
Harvey,TROPICAL STORM,2,13.70,-64.10,08/19 12:00 AM,35,1005
Harvey,TROPICAL STORM,2,13.80,-65.90,08/19 6:00 AM,35,1005
Harvey,TROPICAL STORM,2,13.90,-68.10,08/19 12:00 PM,35,1007
Harvey,TROPICAL DEPRESSION,1,14.10,-70.00,08/19 6:00 PM,30,1007
Harvey,TROPICAL DEPRESSION,1,21.50,-92.50,08/23 12:00 PM,30,1006
Harvey,TROPICAL DEPRESSION,1,21.60,-92.60,08/23 6:00 PM,30,1005
Harvey,TROPICAL DEPRESSION,1,21.90,-92.60,08/24 12:00 AM,30,1002
Harvey,TROPICAL STORM,2,23.20,-92.80,08/24 6:00 AM,40,995
Harvey,TROPICAL STORM,2,24.00,-93.30,08/24 12:00 PM,55,982
Harvey,HURRICANE-1,3,24.40,-93.60,08/24 6:00 PM,75,979
Harvey,HURRICANE-1,3,24.70,-93.90,08/24 6:00 PM,75,976
Harvey,HURRICANE-1,3,25.20,-94.60,08/25 12:00 AM,75,973
Harvey,HURRICANE-2,4,25.90,-95.40,08/25 6:00 AM,90,967
Harvey,HURRICANE-2,4,26.70,-96.00,08/25 12:00 PM,95,947
Harvey,HURRICANE-3,5,27.50,-96.50,08/25 6:00 PM,110,941
Harvey,HURRICANE-4,6,28.00,-97.00,08/26 12:00 AM,115,938
Harvey,HURRICANE-2,4,28.50,-97.20,08/26 6:00 AM,85,963
Harvey,HURRICANE-1,3,28.90,-97.30,08/26 12:00 PM,65,984
Harvey,TROPICAL STORM,2,29.10,-97.60,08/26 6:00 PM,55,990
Harvey,TROPICAL STORM,2,29.30,-97.30,08/27 12:00 AM,45,994
Harvey,TROPICAL STORM,2,29.20,-97.70,08/27 6:00 AM,40,998
Harvey,TROPICAL STORM,2,29.00,-97.40,08/27 12:00 PM,35,1000
Harvey,TROPICAL STORM,2,29.00,-97.00,08/27 6:00 PM,35,1000
Harvey,TROPICAL STORM,2,28.80,-96.60,08/28 12:00 AM,35,1000
Harvey,TROPICAL STORM,2,28.60,-96.30,08/28 6:00 AM,35,998
Harvey,TROPICAL STORM,2,28.50,-96.00,08/28 12:00 PM,35,997
Harvey,TROPICAL STORM,2,28.50,-95.70,08/28 6:00 PM,40,997
Harvey,TROPICAL STORM,2,28.20,-95.30,08/29 12:00 AM,40,997
Harvey,TROPICAL STORM,2,28.10,-94.80,08/29 6:00 AM,40,997
Harvey,TROPICAL STORM,2,28.40,-94.30,08/29 12:00 PM,40,997
Harvey,TROPICAL STORM,2,29.20,-94.30,08/29 6:00 PM,45,994
Harvey,TROPICAL STORM,2,29.00,-93.60,08/30 12:00 AM,45,994
Harvey,TROPICAL STORM,2,29.80,-93.40,08/30 6:00 AM,40,990
Harvey,TROPICAL STORM,2,30.50,-93.30,08/30 12:00 PM,40,993
Harvey,TROPICAL STORM,2,30.80,-93.10,08/30 6:00 PM,35,998
Harvey,TROPICAL DEPRESSION,1,31.70,-92.30,08/31 12:00 AM,30,998
Harvey,TROPICAL DEPRESSION,1,32.30,-92.00,08/31 6:00 AM,25,998
Harvey,TROPICAL DEPRESSION,1,32.50,-91.40,08/31 12:00 PM,15,1002
Harvey,TROPICAL DEPRESSION,1,33.80,-90.50,08/31 6:00 PM,15,1000
Harvey,TROPICAL DEPRESSION,1,34.30,-89.00,09/01 12:00 AM,25,1000
Harvey,TROPICAL DEPRESSION,1,35.70,-87.20,09/01 6:00 AM,25,1001
Irma,TROPICAL STORM,2,16.40000000,-30.30000000,08/30 12:00 PM,45,1004
Irma,TROPICAL STORM,2,16.40000000,-31.20000000,08/30 6:00 PM,50,1001
Irma,TROPICAL STORM,2,16.40000000,-32.20000000,08/31 12:00 AM,55,999
Irma,TROPICAL STORM,2,16.50000000,-32.90000000,08/31 6:00 AM,60,997
Irma,HURRICANE-2,4,16.90000000,-33.80000000,08/31 12:00 PM,85,979
Irma,HURRICANE-3,5,17.30000000,-34.80000000,08/31 6:00 PM,100,967
Irma,HURRICANE-3,5,17.80000000,-35.60000000,09/01 12:00 AM,100,967
Irma,HURRICANE-3,5,18.20000000,-36.50000000,09/01 6:00 AM,100,967
Irma,HURRICANE-2,4,18.50000000,-37.80000000,09/01 12:00 PM,95,972
Irma,HURRICANE-3,5,18.80000000,-39.10000000,09/01 6:00 PM,105,964
Irma,HURRICANE-3,5,19.10000000,-40.50000000,09/02 12:00 AM,100,967
Irma,HURRICANE-2,4,19.00000000,-41.80000000,09/02 6:00 AM,95,970
Irma,HURRICANE-2,4,18.80000000,-43.30000000,09/02 12:00 PM,95,973
Irma,HURRICANE-2,4,18.50000000,-44.60000000,09/02 6:00 PM,95,973
Irma,HURRICANE-2,4,18.30000000,-46.20000000,09/03 12:00 AM,95,973
Irma,HURRICANE-3,5,18.00000000,-47.50000000,09/03 6:00 AM,100,969
Irma,HURRICANE-3,5,17.70000000,-48.40000000,09/03 12:00 PM,100,969
Irma,HURRICANE-3,5,17.60000000,-49.80000000,09/03 6:00 PM,100,969
Irma,HURRICANE-3,5,17.20000000,-51.00000000,09/04 12:00 AM,100,961
Irma,HURRICANE-3,5,16.90000000,-52.30000000,09/04 6:00 AM,100,961
Irma,HURRICANE-3,5,16.80000000,-53.30000000,09/04 12:00 PM,105,944
Irma,HURRICANE-4,6,16.70000000,-54.40000000,09/04 6:00 PM,115,944
Irma,HURRICANE-4,6,16.70000000,-55.60000000,09/05 12:00 AM,120,943
Irma,HURRICANE-4,6,16.60000000,-57.00000000,09/05 6:00 AM,130,937
Irma,HURRICANE-5,7,16.70000000,-57.70000000,09/05 6:00 AM,150,929
Irma,HURRICANE-5,7,16.80000000,-58.40000000,09/05 12:00 PM,155,931
Irma,HURRICANE-5,7,17.10000000,-59.80000000,09/05 6:00 PM,160,926
Irma,HURRICANE-5,7,17.40000000,-61.10000000,09/06 12:00 AM,160,916
Irma,HURRICANE-5,7,17.90000000,-62.60000000,09/06 6:00 AM,160,914
Irma,HURRICANE-5,7,18.20000000,-64.00000000,09/06 12:00 PM,160,918
Irma,HURRICANE-5,7,18.80000000,-65.40000000,09/06 6:00 PM,160,914
Irma,HURRICANE-5,7,19.40000000,-66.80000000,09/07 12:00 AM,160,916
Irma,HURRICANE-5,7,20.00000000,-68.30000000,09/07 6:00 AM,155,921
Irma,HURRICANE-5,7,20.40000000,-69.70000000,09/07 12:00 PM,150,921
Irma,HURRICANE-5,7,20.90000000,-71.10000000,09/07 6:00 PM,150,922
Irma,HURRICANE-5,7,21.30000000,-72.40000000,09/08 12:00 AM,145,920
Irma,HURRICANE-4,6,21.70000000,-73.80000000,09/08 6:00 AM,135,925
Irma,HURRICANE-4,6,22.00000000,-75.30000000,09/08 12:00 PM,130,927
Irma,HURRICANE-4,6,22.10000000,-76.50000000,09/08 6:00 PM,135,925
Irma,HURRICANE-5,7,22.10000000,-77.70000000,09/09/11Z,140,924
Irma,HURRICANE-4,6,22.50000000,-78.80000000,09/09/20Z,135,930
Irma,HURRICANE-3,5,22.80000000,-79.80000000,09/09 12:00 PM,110,941
Irma,HURRICANE-3,5,23.40000000,-80.50000000,09/09 6:00 PM,110,933
Irma,HURRICANE-3,5,23.50000000,-81.00000000,09/10 12:00 AM,105,933
Irma,HURRICANE-4,6,24.10000000,-81.50000000,09/10 6:00 AM,115,928
Irma,HURRICANE-4,6,25.00000000,-81.50000000,09/10 12:00 PM,115,933
Irma,HURRICANE-2,4,26.20000000,-81.80000000,09/10 6:00 PM,95,938
Irma,HURRICANE-2,4,27.50000000,-81.90000000,09/11 12:00 AM,85,952
Irma,HURRICANE-1,3,28.90000000,-82.60000000,09/11 6:00 AM,65,965
Irma,TROPICAL STORM,2,30.30000000,-83.10000000,09/11 12:00 PM,55,975
Irma,TROPICAL STORM,2,31.50000000,-84.00000000,09/11 6:00 PM,45,985
Irma,TROPICAL DEPRESSION,1,32.40000000,-84.90000000,09/12 12:00 AM,30,988
Jose,TROPICAL STORM,2,12.30,-39.10,09/05 12:00 PM,35,1008
Jose,TROPICAL STORM,2,12.50,-40.60,09/05 6:00 PM,40,1006
Jose,TROPICAL STORM,2,12.30,-41.70,09/06 12:00 AM,45,1004
Jose,TROPICAL STORM,2,12.50,-42.80,09/06 6:00 AM,50,1002
Jose,TROPICAL STORM,2,13.10,-44.50,09/06 12:00 PM,60,998
Jose,HURRICANE-1,3,13.90,-45.80,09/06 6:00 PM,65,994
Jose,HURRICANE-1,3,14.40,-47.50,09/07 12:00 AM,75,989
Jose,HURRICANE-1,3,14.80,-49.10,09/07 6:00 AM,80,986
Jose,HURRICANE-1,3,14.90,-50.60,09/07 12:00 PM,80,986
Jose,HURRICANE-3,5,15.50,-52.40,09/07 6:00 PM,105,966
Jose,HURRICANE-3,5,15.60,-53.90,09/08 12:00 AM,105,966
Jose,HURRICANE-3,5,16.00,-55.30,09/08 6:00 AM,110,957
Jose,HURRICANE-4,6,16.30,-57.10,09/08 12:00 PM,130,942
Jose,HURRICANE-4,6,16.60,-58.30,09/08 6:00 PM,130,940
Jose,HURRICANE-4,6,16.90,-59.30,09/09 12:00 AM,135,938
Jose,HURRICANE-4,6,17.50,-60.30,09/09 6:00 AM,130,940
Jose,HURRICANE-4,6,18.30,-61.30,09/09 12:00 PM,125,945
Jose,HURRICANE-4,6,19.20,-62.40,09/09 6:00 PM,125,945
Jose,HURRICANE-4,6,19.80,-63.40,09/10 12:00 AM,115,944
Jose,HURRICANE-4,6,20.80,-64.50,09/10 6:00 AM,115,944
Jose,HURRICANE-4,6,21.70,-65.80,09/10 12:00 PM,115,944
Jose,HURRICANE-3,5,22.80,-66.90,09/10 6:00 PM,105,956
Jose,HURRICANE-3,5,23.70,-68.10,09/11 12:00 AM,100,962
Jose,HURRICANE-2,4,24.40,-68.60,09/11 6:00 AM,90,968
Jose,HURRICANE-2,4,25.50,-69.10,09/11 12:00 PM,90,968
Jose,HURRICANE-2,4,26.40,-69.20,09/11 6:00 PM,85,973
Jose,HURRICANE-1,3,27.10,-69.50,09/12 12:00 AM,75,982
Jose,HURRICANE-1,3,27.50,-69.00,09/12 6:00 AM,65,987
Jose,HURRICANE-1,3,27.50,-68.30,09/12 12:00 PM,65,987
Jose,HURRICANE-1,3,27.60,-67.40,09/12 6:00 PM,65,987
Jose,HURRICANE-1,3,26.50,-66.40,09/13 12:00 AM,65,985
Jose,HURRICANE-1,3,26.10,-66.00,09/13 6:00 AM,65,985
Jose,HURRICANE-1,3,25.50,-65.60,09/13 12:00 PM,65,985
Jose,HURRICANE-1,3,25.30,-65.60,09/13 6:00 PM,65,988
Jose,HURRICANE-1,3,25.20,-66.00,09/14 12:00 AM,70,985
Jose,HURRICANE-1,3,25.10,-66.50,09/14 6:00 AM,65,986
Jose,TROPICAL STORM,2,24.90,-66.60,09/14 12:00 PM,60,989
Jose,TROPICAL STORM,2,25.20,-67.30,09/14 6:00 PM,60,989
Jose,TROPICAL STORM,2,25.50,-68.00,09/15 12:00 AM,60,989
Jose,TROPICAL STORM,2,25.90,-68.70,09/15 6:00 AM,60,989
Jose,TROPICAL STORM,2,26.50,-69.40,09/15 12:00 PM,60,989
Jose,HURRICANE-1,3,27.10,-70.30,09/15 6:00 PM,65,983
Jose,HURRICANE-1,3,27.40,-71.00,09/16 12:00 AM,70,983
Jose,HURRICANE-1,3,27.90,-71.80,09/16 6:00 AM,70,983
Jose,HURRICANE-1,3,28.80,-72.20,09/16 12:00 PM,70,982
Jose,HURRICANE-1,3,28.90,-71.90,09/16 6:00 PM,70,973
Jose,HURRICANE-1,3,29.20,-71.80,09/17 12:00 AM,70,973
Jose,HURRICANE-1,3,30.00,-71.70,09/17 6:00 AM,70,973
Jose,HURRICANE-1,3,31.00,-71.90,09/17 12:00 PM,80,967
Jose,HURRICANE-1,3,31.50,-71.80,09/17 6:00 PM,80,967
Jose,HURRICANE-1,3,32.20,-71.60,09/18 12:00 AM,80,972
Jose,HURRICANE-1,3,33.00,-71.40,09/18 6:00 AM,75,974
Jose,HURRICANE-1,3,33.90,-71.10,09/18 12:00 PM,65,977
Jose,HURRICANE-1,3,34.80,-71.10,09/18 6:00 PM,65,977
Jose,HURRICANE-1,3,35.20,-71.30,09/19 12:00 AM,65,975
Jose,HURRICANE-1,3,36.00,-71.30,09/19 6:00 AM,65,971
Jose,HURRICANE-1,3,36.50,-71.70,09/19 12:00 PM,65,976
Jose,HURRICANE-1,3,37.20,-71.30,09/19 6:00 PM,65,976
Jose,TROPICAL STORM,2,37.90,-70.80,09/20 12:00 AM,60,973
Jose,TROPICAL STORM,2,38.40,-70.30,09/20 6:00 AM,55,975
Jose,TROPICAL STORM,2,39.00,-70.00,09/20 12:00 PM,60,976
Jose,TROPICAL STORM,2,39.20,-69.10,09/21 12:00 AM,60,976
Jose,TROPICAL STORM,2,39.50,-68.20,09/21 12:00 AM,50,982
Jose,TROPICAL STORM,2,39.80,-67.80,09/21 6:00 AM,50,982
Jose,TROPICAL STORM,2,39.60,-68.20,09/21 12:00 PM,50,984
Jose,TROPICAL STORM,2,39.60,-67.90,09/21 6:00 PM,45,987
Katia,TROPICAL DEPRESSION,1,22.40,-96.70,09/05 6:00 PM,30,1008
Katia,TROPICAL DEPRESSION,1,22.20,-96.40,09/06 12:00 AM,30,1008
Katia,TROPICAL STORM,2,22.10,-96.30,09/06 6:00 AM,35,1006
Katia,TROPICAL STORM,2,21.70,-95.90,09/06 12:00 PM,40,1004
Katia,HURRICANE-1,3,21.70,-95.10,09/06 6:00 PM,65,992
Katia,HURRICANE-1,3,21.70,-94.80,09/07 12:00 AM,70,989
Katia,HURRICANE-1,3,21.50,-94.50,09/07 6:00 AM,70,989
Katia,HURRICANE-1,3,21.60,-94.60,09/07 12:00 PM,70,980
Katia,HURRICANE-1,3,21.60,-94.60,09/07 6:00 PM,70,980
Katia,HURRICANE-1,3,21.50,-95.10,09/08 12:00 AM,75,982
Katia,HURRICANE-1,3,21.30,-95.40,09/08 6:00 AM,80,977
Katia,HURRICANE-2,4,21.00,-95.80,09/08 12:00 PM,85,975
Katia,HURRICANE-2,4,21.00,-96.50,09/08 6:00 PM,90,972
Katia,HURRICANE-1,3,20.60,-97.20,09/09 12:00 AM,65,988
Katia,TROPICAL STORM,2,20.30,-97.50,09/09 6:00 AM,35,1001
Lee,TROPICAL DEPRESSION,1,10.70,-25.40,09/15 12:00 AM,30,1010
Lee,TROPICAL DEPRESSION,1,10.60,-27.30,09/15 6:00 AM,30,1008
Lee,TROPICAL DEPRESSION,1,11.40,-28.30,09/15 12:00 PM,30,1008
Lee,TROPICAL DEPRESSION,1,12.60,-29.70,09/15 6:00 PM,30,1009
Lee,TROPICAL DEPRESSION,1,12.80,-30.70,09/16 12:00 AM,30,1009
Lee,TROPICAL DEPRESSION,1,12.60,-32.10,09/16 6:00 AM,30,1008
Lee,TROPICAL STORM,2,12.50,-33.10,09/16 12:00 PM,35,1007
Lee,TROPICAL STORM,2,12.60,-34.20,09/16 6:00 PM,35,1007
Lee,TROPICAL STORM,2,12.80,-34.90,09/17 12:00 AM,35,1007
Lee,TROPICAL STORM,2,13.00,-35.40,09/17 6:00 AM,35,1007
Lee,TROPICAL DEPRESSION,1,13.00,-36.70,09/17 12:00 PM,30,1007
Lee,TROPICAL DEPRESSION,1,13.20,-37.30,09/17 6:00 PM,30,1007
Lee,TROPICAL DEPRESSION,1,13.60,-38.50,09/18 12:00 AM,30,1007
Lee,TROPICAL DEPRESSION,1,14.10,-39.80,09/18 6:00 AM,30,1007
Lee,TROPICAL DEPRESSION,1,14.10,-40.60,09/18 12:00 PM,30,1007
Lee,TROPICAL DEPRESSION,1,15.00,-40.60,09/18 6:00 PM,30,1007
Lee,TROPICAL DEPRESSION,1,15.10,-43.00,09/19 12:00 AM,25,1007
Lee,TROPICAL DEPRESSION,1,30.80,-48.90,09/22 6:00 PM,30,1014
Lee,TROPICAL STORM,2,31.50,-49.00,09/23 12:00 AM,35,1009
Lee,TROPICAL STORM,2,31.90,-49.20,09/23 6:00 AM,35,1009
Lee,TROPICAL STORM,2,31.90,-49.40,09/23 12:00 PM,40,1007
Lee,TROPICAL STORM,2,32.10,-49.80,09/23 6:00 PM,40,1007
Lee,TROPICAL STORM,2,31.90,-50.10,09/24 12:00 AM,45,1003
Lee,HURRICANE-1,3,31.90,-50.10,09/24 6:00 AM,65,987
Lee,HURRICANE-1,3,31.80,-50.10,09/24 6:00 AM,75,983
Lee,HURRICANE-1,3,31.40,-49.90,09/24 12:00 PM,80,982
Lee,HURRICANE-1,3,31.30,-49.70,09/24 6:00 PM,80,980
Lee,HURRICANE-1,3,31.10,-49.50,09/25 12:00 AM,80,980
Lee,HURRICANE-1,3,31.10,-49.40,09/25 6:00 AM,80,980
Lee,HURRICANE-1,3,30.80,-49.90,09/25 12:00 PM,80,980
Lee,HURRICANE-1,3,30.50,-50.60,09/25 6:00 PM,75,983
Lee,HURRICANE-1,3,30.20,-51.50,09/26 12:00 AM,80,979
Lee,HURRICANE-2,4,30.00,-52.50,09/26 6:00 AM,85,977
Lee,HURRICANE-2,4,29.90,-53.70,09/26 12:00 PM,90,975
Lee,HURRICANE-2,4,29.90,-54.60,09/26 6:00 PM,95,971
Lee,HURRICANE-2,4,30.00,-55.50,09/27 12:00 AM,95,971
Lee,HURRICANE-2,4,30.20,-56.30,09/27 6:00 AM,95,971
Lee,HURRICANE-3,5,30.60,-56.80,09/27 12:00 PM,100,963
Lee,HURRICANE-3,5,31.20,-57.10,09/27 6:00 PM,100,962
Lee,HURRICANE-2,4,31.70,-57.30,09/28 12:00 AM,95,966
Lee,HURRICANE-2,4,32.50,-57.20,09/28 6:00 AM,95,966
Lee,HURRICANE-2,4,33.70,-57.00,09/28 12:00 PM,85,973
Lee,HURRICANE-1,3,35.10,-55.80,09/28 6:00 PM,80,977
Lee,HURRICANE-1,3,36.30,-54.60,09/29 12:00 AM,70,984
Lee,HURRICANE-1,3,38.30,-52.40,09/29 6:00 AM,65,987
Lee,TROPICAL STORM,2,40.10,-49.50,09/29 12:00 PM,60,992
Lee,TROPICAL STORM,2,42.20,-46.00,09/29 6:00 PM,55,996
Maria,TROPICAL STORM,2,12.30,-52.60,09/16 6:00 PM,45,1002
Maria,TROPICAL STORM,2,12.50,-53.70,09/17 12:00 AM,45,1002
Maria,TROPICAL STORM,2,13.00,-54.90,09/17 6:00 AM,55,994
Maria,TROPICAL STORM,2,13.50,-56.20,09/17 12:00 PM,55,994
Maria,HURRICANE-1,3,13.80,-57.50,09/17 6:00 PM,65,982
Maria,HURRICANE-1,3,14.20,-58.40,09/18 12:00 AM,75,979
Maria,HURRICANE-1,3,14.60,-59.50,09/18 6:00 AM,80,977
Maria,HURRICANE-3,5,14.70,-60.10,09/18 12:00 PM,105,959
Maria,HURRICANE-4,6,15.10,-60.70,09/18 6:00 PM,115,950
Maria,HURRICANE-5,7,15.30,-61.10,09/18 6:00 PM,140,925
Maria,HURRICANE-5,7,15.50,-61.40,09/19 12:00 AM,140,924
Maria,HURRICANE-4,6,16.00,-62.30,09/19 6:00 AM,135,934
Maria,HURRICANE-5,7,16.30,-63.10,09/19 12:00 PM,140,927
Maria,HURRICANE-5,7,16.80,-64.00,09/19 6:00 PM,145,916
Maria,HURRICANE-5,7,17.30,-64.70,09/20 12:00 AM,150,909
Maria,HURRICANE-4,6,17.90,-65.60,09/20 6:00 AM,135,917
Maria,HURRICANE-4,6,18.40,-66.50,09/20 12:00 PM,120,930
Maria,HURRICANE-2,4,18.80,-67.30,09/20 6:00 PM,95,957
Maria,HURRICANE-2,4,19.20,-67.90,09/21 12:00 AM,95,959
Maria,HURRICANE-3,5,19.60,-68.40,09/21 6:00 AM,100,959
Maria,HURRICANE-3,5,20.20,-69.10,09/21 12:00 PM,100,960
Maria,HURRICANE-3,5,20.80,-69.80,09/21 6:00 PM,105,960
Maria,HURRICANE-3,5,21.00,-70.20,09/22 12:00 AM,110,955
Maria,HURRICANE-3,5,21.60,-70.60,09/22 6:00 AM,110,959
Maria,HURRICANE-3,5,22.30,-71.00,09/22 12:00 PM,110,958
Maria,HURRICANE-3,5,23.30,-71.40,09/22 6:00 PM,110,959
Maria,HURRICANE-3,5,24.10,-71.70,09/23 12:00 AM,110,954
Maria,HURRICANE-3,5,24.80,-72.00,09/23 6:00 AM,105,952
Maria,HURRICANE-3,5,25.40,-72.30,09/23 12:00 PM,100,952
Maria,HURRICANE-3,5,26.30,-72.50,09/23 6:00 PM,100,950
Maria,HURRICANE-3,5,27.00,-72.50,09/24 12:00 AM,100,942
Maria,HURRICANE-2,4,27.90,-72.70,09/24 6:00 AM,95,948
Maria,HURRICANE-2,4,28.70,-72.90,09/24 12:00 PM,90,947
Maria,HURRICANE-2,4,29.40,-73.00,09/24 6:00 PM,90,941
Maria,HURRICANE-1,3,30.00,-73.00,09/25 12:00 AM,80,950
Maria,HURRICANE-1,3,30.60,-73.00,09/25 6:00 AM,70,957
Maria,HURRICANE-1,3,31.20,-72.90,09/25 12:00 PM,70,963
Maria,HURRICANE-1,3,31.70,-73.10,09/25 6:00 PM,70,965
